takeProfit change:0.00135;killTime change:8.56588
takeProfit change:0.0013;killTime change:8.24863
takeProfit change:0.001275;killTime change:8.09
takeProfit change:0.000475;killTime change:3.01392
takeProfit change:0.000425;killTime change:2.69667
takeProfit change:0.000475;killTime change:3.01392
stopLoss change:0.000575;killTime change:-3.64843
stopLoss change:0.000775;killTime change:-4.91745
stopLoss change:0.00085;killTime change:-5.39333
stopLoss change:0.000525;killTime change:-3.33118
stopLoss change:0.000475;killTime change:-3.01392
stopLoss change:0.0005;killTime change:-3.17255
stopLoss change:0.000575;killTime change:-3.64843
INFO: GapDown;STOPLOSS;tradeId:901;parenttradeId:900;timeStamp:2024-02-13 23:49:38;price:150.661;killTime:329.85;profit loss for trades:-109.517
INFO: GapDown;new trade; tradeCount:16;tradeId:902;timeStamp:2024-02-15 09:48:12;t_cur:1791.58;h_cur:0.123;h1:0.0175;price:150.007;takeProfit:150.049;stopLoss:149.989;killTime:900
takeProfit change:0.001075;killTime change:16.0528
takeProfit change:0.001225;killTime change:18.2927
takeProfit change:0.001075;killTime change:16.0528
stopLoss change:0.000425;killTime change:-6.34644
INFO: GapDown;STOPLOSS;tradeId:903;parenttradeId:902;timeStamp:2024-02-15 09:49:00;price:149.986;killTime:944.052;profit loss for trades:-136.679
INFO: GapDown;new trade; tradeCount:17;tradeId:904;timeStamp:2024-02-22 08:15:00;t_cur:29587.3;h_cur:0.3175;h1:0.037;price:150.092;takeProfit:150.211;stopLoss:150.055;killTime:900
takeProfit change:0.000825;killTime change:4.77262
takeProfit change:0.000925;killTime change:5.35112
takeProfit change:0.00065;killTime change:3.76024
stopLoss change:0.0005;killTime change:-2.8925
stopLoss change:0.000475;killTime change:-2.74787
INFO: GapDown;STOPLOSS;tradeId:905;parenttradeId:904;timeStamp:2024-02-22 08:15:05;price:150.055;killTime:908.244;profit loss for trades:-246.576
INFO: GapDown;new trade; tradeCount:18;tradeId:906;timeStamp:2024-02-22 14:45:02;t_cur:291.05;h_cur:0.159;h1:0.0205;price:150.48;takeProfit:150.537;stopLoss:150.459;killTime:203.735
takeProfit change:0.00075;killTime change:1.96125
